Unnamed: 0,Year,Month,Day,Hour,Minute,Sensor,Orbit,Latitude,Longitude,Optical_Depth_047,Optical_Depth_055
1628670,2022,12,12,6,30,Terra,2,28.683332443237305,77.2268295288086,0.535,0.409
1628671,2022,12,12,6,30,Terra,2,28.683332443237305,77.21733093261719,0.528,0.404
1628672,2022,12,12,6,30,Terra,2,28.683332443237305,77.20783233642578,0.522,0.4
1628673,2022,12,12,6,30,Terra,2,28.683332443237305,77.19832611083984,0.52,0.398
1628674,2022,12,12,6,30,Terra,2,28.683332443237305,77.18882751464844,0.522,0.399
1628675,2022,12,12,6,30,Terra,2,28.683332443237305,77.17932891845703,0.526,0.403
1628676,2022,12,12,6,30,Terra,2,28.683332443237305,77.16983032226562,0.525,0.402
1628677,2022,12,12,6,30,Terra,2,28.683332443237305,77.16033172607422,0.522,0.4
1628678,2022,12,12,6,30,Terra,2,28.683332443237305,77.15083312988281,0.523,0.4
1628679,2022,12,12,6,30,Terra,2,28.683332443237305,77.1413345336914,0.519,0.397
1628680,2022,12,12,6,30,Terra,2,28.683332443237305,77.1318359375,0.514,0.394
1628681,2022,12,12,6,30,Terra,2,28.683332443237305,77.1223373413086,0.504,0.386
1629870,2022,12,12,6,30,Terra,2,28.674999237060547,77.2206802368164,0.54,0.414
1629871,2022,12,12,6,30,Terra,2,28.674999237060547,77.211181640625,0.535,0.409
1629872,2022,12,12,6,30,Terra,2,28.674999237060547,77.2016830444336,0.53,0.406
1629873,2022,12,12,6,30,Terra,2,28.674999237060547,77.19219207763672,0.533,0.408
1629874,2022,12,12,6,30,Terra,2,28.674999237060547,77.18269348144531,0.537,0.411
1629875,2022,12,12,6,30,Terra,2,28.674999237060547,77.1731948852539,0.544,0.416
1629876,2022,12,12,6,30,Terra,2,28.674999237060547,77.1636962890625,0.54,0.414
1629877,2022,12,12,6,30,Terra,2,28.674999237060547,77.1541976928711,0.532,0.407
1629878,2022,12,12,6,30,Terra,2,28.674999237060547,77.14469909667969,0.529,0.405
1629879,2022,12,12,6,30,Terra,2,28.674999237060547,77.13520050048828,0.524,0.401
1629880,2022,12,12,6,30,Terra,2,28.674999237060547,77.12570190429688,0.521,0.399
1631069,2022,12,12,6,30,Terra,2,28.66666603088379,77.22403717041016,0.554,0.428
1631070,2022,12,12,6,30,Terra,2,28.66666603088379,77.21453857421875,0.553,0.427
1631071,2022,12,12,6,30,Terra,2,28.66666603088379,77.20504760742188,0.553,0.427
1631072,2022,12,12,6,30,Terra,2,28.66666603088379,77.19554901123047,0.546,0.418
1631073,2022,12,12,6,30,Terra,2,28.66666603088379,77.18605041503906,0.545,0.417
1631074,2022,12,12,6,30,Terra,2,28.66666603088379,77.17655181884766,0.543,0.415
1631075,2022,12,12,6,30,Terra,2,28.66666603088379,77.16705322265625,0.548,0.419
1631076,2022,12,12,6,30,Terra,2,28.66666603088379,77.15755462646484,0.552,0.426
1631077,2022,12,12,6,30,Terra,2,28.66666603088379,77.14805603027344,0.547,0.419
1631078,2022,12,12,6,30,Terra,2,28.66666603088379,77.13856506347656,0.546,0.418
1631079,2022,12,12,6,30,Terra,2,28.66666603088379,77.12906646728516,0.536,0.41
1632268,2022,12,12,6,30,Terra,2,28.65833282470703,77.2273941040039,0.56,0.433
1632269,2022,12,12,6,30,Terra,2,28.65833282470703,77.21790313720703,0.5650000000000001,0.436
1632270,2022,12,12,6,30,Terra,2,28.65833282470703,77.20840454101562,0.5680000000000001,0.439
1632271,2022,12,12,6,30,Terra,2,28.65833282470703,77.19890594482422,0.5750000000000001,0.444
1632272,2022,12,12,6,30,Terra,2,28.65833282470703,77.18940734863281,0.5660000000000001,0.437
1632273,2022,12,12,6,30,Terra,2,28.65833282470703,77.17991638183594,0.5630000000000001,0.435
1632274,2022,12,12,6,30,Terra,2,28.65833282470703,77.17041778564453,0.552,0.426
