Unnamed: 0.1,Unnamed: 0,Year,Month,Day,Hour,Minute,Sensor,Orbit,Latitude,Longitude,Optical_Depth_047,Optical_Depth_055
9120,1633478,2023,2,14,6,15,Terra,2,28.64999961853028,77.12629699707031,0.548,0.42
9262,1634667,2023,2,14,6,15,Terra,2,28.64166641235352,77.22461700439453,0.5720000000000001,0.442
9263,1634668,2023,2,14,6,15,Terra,2,28.64166641235352,77.21512603759766,0.562,0.434
9264,1634669,2023,2,14,6,15,Terra,2,28.64166641235352,77.20562744140625,0.547,0.419
9265,1634670,2023,2,14,6,15,Terra,2,28.64166641235352,77.19613647460938,0.491,0.376
9266,1634671,2023,2,14,6,15,Terra,2,28.64166641235352,77.18663787841797,0.5660000000000001,0.437
9267,1634672,2023,2,14,6,15,Terra,2,28.64166641235352,77.17713928222656,0.467,0.357
9268,1634673,2023,2,14,6,15,Terra,2,28.64166641235352,77.16764831542969,0.522,0.4
9269,1634674,2023,2,14,6,15,Terra,2,28.64166641235352,77.15814971923828,0.49,0.375
9270,1634675,2023,2,14,6,15,Terra,2,28.64166641235352,77.1486587524414,0.54,0.413
9271,1634676,2023,2,14,6,15,Terra,2,28.64166641235352,77.13916015625,0.557,0.431
9272,1634677,2023,2,14,6,15,Terra,2,28.64166641235352,77.12966918945312,0.5640000000000001,0.436
9415,1635866,2023,2,14,6,15,Terra,2,28.63333320617676,77.22798156738281,0.508,0.389
9416,1635867,2023,2,14,6,15,Terra,2,28.63333320617676,77.2184829711914,0.546,0.418
9417,1635868,2023,2,14,6,15,Terra,2,28.63333320617676,77.20899200439453,0.469,0.359
9418,1635869,2023,2,14,6,15,Terra,2,28.63333320617676,77.19949340820312,0.602,0.465
9419,1635870,2023,2,14,6,15,Terra,2,28.63333320617676,77.19000244140625,0.615,0.475
9420,1635871,2023,2,14,6,15,Terra,2,28.63333320617676,77.18051147460938,0.55,0.425
9421,1635872,2023,2,14,6,15,Terra,2,28.63333320617676,77.17101287841797,0.513,0.393
9422,1635873,2023,2,14,6,15,Terra,2,28.63333320617676,77.1615219116211,0.456,0.349
9423,1635874,2023,2,14,6,15,Terra,2,28.63333320617676,77.15202331542969,0.474,0.363
9424,1635875,2023,2,14,6,15,Terra,2,28.63333320617676,77.14253234863281,0.606,0.468
9425,1635876,2023,2,14,6,15,Terra,2,28.63333320617676,77.1330337524414,0.588,0.454
9426,1635877,2023,2,14,6,15,Terra,2,28.63333320617676,77.12354278564453,0.554,0.428
