Unnamed: 0,Year,Month,Day,Hour,Minute,Sensor,Orbit,Latitude,Longitude,Optical_Depth_047,Optical_Depth_055
1628670,2023,1,2,6,15,Terra,2,28.683332443237305,77.2268295288086,0.4,0.306
1628671,2023,1,2,6,15,Terra,2,28.683332443237305,77.21733093261719,0.353,0.269
1628672,2023,1,2,6,15,Terra,2,28.683332443237305,77.20783233642578,0.348,0.265
1628673,2023,1,2,6,15,Terra,2,28.683332443237305,77.19832611083984,0.32,0.243
1628674,2023,1,2,6,15,Terra,2,28.683332443237305,77.18882751464844,0.315,0.24
1628675,2023,1,2,6,15,Terra,2,28.683332443237305,77.17932891845703,0.317,0.241
1628676,2023,1,2,6,15,Terra,2,28.683332443237305,77.16983032226562,0.315,0.24
1628677,2023,1,2,6,15,Terra,2,28.683332443237305,77.16033172607422,0.324,0.247
1628678,2023,1,2,6,15,Terra,2,28.683332443237305,77.15083312988281,0.323,0.246
1628679,2023,1,2,6,15,Terra,2,28.683332443237305,77.1413345336914,0.315,0.24
1628680,2023,1,2,6,15,Terra,2,28.683332443237305,77.1318359375,0.308,0.234
1628681,2023,1,2,6,15,Terra,2,28.683332443237305,77.1223373413086,0.294,0.222
1629870,2023,1,2,6,15,Terra,2,28.674999237060547,77.2206802368164,0.454,0.347
1629871,2023,1,2,6,15,Terra,2,28.674999237060547,77.211181640625,0.368,0.28
1629872,2023,1,2,6,15,Terra,2,28.674999237060547,77.2016830444336,0.314,0.239
1629873,2023,1,2,6,15,Terra,2,28.674999237060547,77.19219207763672,0.33,0.251
1629874,2023,1,2,6,15,Terra,2,28.674999237060547,77.18269348144531,0.323,0.246
1629875,2023,1,2,6,15,Terra,2,28.674999237060547,77.1731948852539,0.322,0.245
1629876,2023,1,2,6,15,Terra,2,28.674999237060547,77.1636962890625,0.319,0.243
1629877,2023,1,2,6,15,Terra,2,28.674999237060547,77.1541976928711,0.321,0.244
1629878,2023,1,2,6,15,Terra,2,28.674999237060547,77.14469909667969,0.319,0.243
1629879,2023,1,2,6,15,Terra,2,28.674999237060547,77.13520050048828,0.309,0.235
1629880,2023,1,2,6,15,Terra,2,28.674999237060547,77.12570190429688,0.303,0.23
1631069,2023,1,2,6,15,Terra,2,28.66666603088379,77.22403717041016,0.454,0.348
1631070,2023,1,2,6,15,Terra,2,28.66666603088379,77.21453857421875,0.387,0.294
1631071,2023,1,2,6,15,Terra,2,28.66666603088379,77.20504760742188,0.386,0.293
1631072,2023,1,2,6,15,Terra,2,28.66666603088379,77.19554901123047,0.346,0.263
1631073,2023,1,2,6,15,Terra,2,28.66666603088379,77.18605041503906,0.37,0.281
1631074,2023,1,2,6,15,Terra,2,28.66666603088379,77.17655181884766,0.332,0.253
1631075,2023,1,2,6,15,Terra,2,28.66666603088379,77.16705322265625,0.32,0.243
1631076,2023,1,2,6,15,Terra,2,28.66666603088379,77.15755462646484,0.318,0.242
1631077,2023,1,2,6,15,Terra,2,28.66666603088379,77.14805603027344,0.316,0.24
1631078,2023,1,2,6,15,Terra,2,28.66666603088379,77.13856506347656,0.315,0.24
1631079,2023,1,2,6,15,Terra,2,28.66666603088379,77.12906646728516,0.308,0.234
1632268,2023,1,2,6,15,Terra,2,28.65833282470703,77.2273941040039,0.433,0.331
1632269,2023,1,2,6,15,Terra,2,28.65833282470703,77.21790313720703,0.433,0.332
1632270,2023,1,2,6,15,Terra,2,28.65833282470703,77.20840454101562,0.443,0.339
1632271,2023,1,2,6,15,Terra,2,28.65833282470703,77.19890594482422,0.413,0.316
1632272,2023,1,2,6,15,Terra,2,28.65833282470703,77.18940734863281,0.423,0.324
