Unnamed: 0,Year,Month,Day,Hour,Minute,Sensor,Orbit,Latitude,Longitude,Optical_Depth_047,Optical_Depth_055
1628670,2023,1,8,8,30,Aqua,2,28.683332443237305,77.2268295288086,0.261,0.197
1628671,2023,1,8,8,30,Aqua,2,28.683332443237305,77.21733093261719,0.259,0.196
1628672,2023,1,8,8,30,Aqua,2,28.683332443237305,77.20783233642578,0.258,0.195
1628673,2023,1,8,8,30,Aqua,2,28.683332443237305,77.19832611083984,0.267,0.202
1628674,2023,1,8,8,30,Aqua,2,28.683332443237305,77.18882751464844,0.282,0.214
1628675,2023,1,8,8,30,Aqua,2,28.683332443237305,77.17932891845703,0.236,0.178
1628676,2023,1,8,8,30,Aqua,2,28.683332443237305,77.16983032226562,0.254,0.192
1628677,2023,1,8,8,30,Aqua,2,28.683332443237305,77.16033172607422,0.275,0.208
1628678,2023,1,8,8,30,Aqua,2,28.683332443237305,77.15083312988281,0.277,0.209
1628679,2023,1,8,8,30,Aqua,2,28.683332443237305,77.1413345336914,0.262,0.198
1628680,2023,1,8,8,30,Aqua,2,28.683332443237305,77.1318359375,0.23,0.174
1628681,2023,1,8,8,30,Aqua,2,28.683332443237305,77.1223373413086,0.239,0.181
1629870,2023,1,8,8,30,Aqua,2,28.674999237060547,77.2206802368164,0.258,0.195
1629871,2023,1,8,8,30,Aqua,2,28.674999237060547,77.211181640625,0.267,0.202
1629872,2023,1,8,8,30,Aqua,2,28.674999237060547,77.2016830444336,0.272,0.206
1629873,2023,1,8,8,30,Aqua,2,28.674999237060547,77.19219207763672,0.236,0.178
1629874,2023,1,8,8,30,Aqua,2,28.674999237060547,77.18269348144531,0.223,0.169
1629875,2023,1,8,8,30,Aqua,2,28.674999237060547,77.1731948852539,0.223,0.168
1629876,2023,1,8,8,30,Aqua,2,28.674999237060547,77.1636962890625,0.232,0.176
1629877,2023,1,8,8,30,Aqua,2,28.674999237060547,77.1541976928711,0.27,0.204
1629878,2023,1,8,8,30,Aqua,2,28.674999237060547,77.14469909667969,0.288,0.218
1629879,2023,1,8,8,30,Aqua,2,28.674999237060547,77.13520050048828,0.293,0.221
1629880,2023,1,8,8,30,Aqua,2,28.674999237060547,77.12570190429688,0.249,0.188
1631069,2023,1,8,8,30,Aqua,2,28.66666603088379,77.22403717041016,0.298,0.226
1631070,2023,1,8,8,30,Aqua,2,28.66666603088379,77.21453857421875,0.246,0.186
1631071,2023,1,8,8,30,Aqua,2,28.66666603088379,77.20504760742188,0.308,0.234
1631072,2023,1,8,8,30,Aqua,2,28.66666603088379,77.19554901123047,0.276,0.208
1631073,2023,1,8,8,30,Aqua,2,28.66666603088379,77.18605041503906,0.245,0.185
1631074,2023,1,8,8,30,Aqua,2,28.66666603088379,77.17655181884766,0.233,0.176
1631075,2023,1,8,8,30,Aqua,2,28.66666603088379,77.16705322265625,0.225,0.17
1631076,2023,1,8,8,30,Aqua,2,28.66666603088379,77.15755462646484,0.221,0.167
1631077,2023,1,8,8,30,Aqua,2,28.66666603088379,77.14805603027344,0.229,0.173
1631078,2023,1,8,8,30,Aqua,2,28.66666603088379,77.13856506347656,0.244,0.185
1631079,2023,1,8,8,30,Aqua,2,28.66666603088379,77.12906646728516,0.253,0.192
1632268,2023,1,8,8,30,Aqua,2,28.65833282470703,77.2273941040039,0.308,0.234
1632269,2023,1,8,8,30,Aqua,2,28.65833282470703,77.21790313720703,0.27,0.204
1632270,2023,1,8,8,30,Aqua,2,28.65833282470703,77.20840454101562,0.264,0.2
1632271,2023,1,8,8,30,Aqua,2,28.65833282470703,77.19890594482422,0.267,0.202
1632272,2023,1,8,8,30,Aqua,2,28.65833282470703,77.18940734863281,0.259,0.196
1632273,2023,1,8,8,30,Aqua,2,28.65833282470703,77.17991638183594,0.243,0.184
1632274,2023,1,8,8,30,Aqua,2,28.65833282470703,77.17041778564453,0.251,0.19
1632275,2023,1,8,8,30,Aqua,2,28.65833282470703,77.16091918945312,0.238,0.18
1632276,2023,1,8,8,30,Aqua,2,28.65833282470703,77.15142059326172,0.228,0.173
1632277,2023,1,8,8,30,Aqua,2,28.65833282470703,77.14192962646484,0.206,0.156
1632278,2023,1,8,8,30,Aqua,2,28.65833282470703,77.13243103027344,0.214,0.161
1632279,2023,1,8,8,30,Aqua,2,28.65833282470703,77.12293243408203,0.226,0.171
1633468,2023,1,8,8,30,Aqua,2,28.64999961853028,77.22126007080078,0.313,0.238
1633469,2023,1,8,8,30,Aqua,2,28.64999961853028,77.21176147460938,0.294,0.222
1633470,2023,1,8,8,30,Aqua,2,28.64999961853028,77.2022705078125,0.292,0.221
